Athlete,College Grade,Name of College,Coll Time,Year,College Conf,College All-Conf,College AA,Olympian,College Division,Event,,,,
Kamryn MCINTOSH,FR,Clemson,02:04.3,2018,ACC,1,0,0,D1,800m,,,,
Laurie BARTON,SO,Virginia Tech,02:05.6,2018,ACC,0,0,0,D1,800m,,,,
Grace BARNETT,SR,Clemson,02:05.9,2018,ACC,0,0,0,D1,800m,,,,
Jessica HARRIS,JR,Notre Dame,02:05.9,2018,ACC,0,0,0,D1,800m,,,,
Fellan FERGUSON,SR,Clemson,02:06.1,2018,ACC,1,0,0,D1,800m,,,,
Kelly HART,JR,Notre Dame,02:06.4,2018,ACC,0,0,0,D1,800m,,,,
Rachel POCRATSKY,JR,Virginia Tech,02:06.4,2018,ACC,1,0,0,D1,800m,,,,
Brittany AVENI,SO,Duke,02:08.3,2018,ACC,0,0,0,D1,800m,,,,
Blake DODGE,JR,North Carolina,02:08.3,2018,ACC,0,0,0,D1,800m,,,,
Shannon QUINN,JR,Virginia Tech,02:09.2,2018,ACC,0,0,0,D1,800m,,,,
Dana MAYDEW,SR,Clemson,02:09.6,2018,ACC,0,0,0,D1,800m,,,,
Miranda SALVO,JR,Pittsburgh,02:09.7,2018,ACC,0,0,0,D1,800m,,,,
Samantha MURRAY,SR,Notre Dame,02:09.8,2018,ACC,0,0,0,D1,800m,,,,
Haley ANDERSON,SR,Georgia Tech,02:09.8,2018,ACC,0,0,0,D1,800m,,,,
Ginelle DEMONE,SO,Florida State,02:10.2,2018,ACC,0,0,0,D1,800m,,,,
Lauren MOODY,SR,North Carolina,02:10.4,2018,ACC,0,0,0,D1,800m,,,,
Liz LANSING,JR,Duke,02:11.0,2018,ACC,0,0,0,D1,800m,,,,
Shannon AHERN,SR,Boston College,02:12.1,2018,ACC,0,0,0,D1,800m,,,,
Emma CALL,FR,Virginia,02:12.3,2018,ACC,0,0,0,D1,800m,,,,
Anja WEILER,SR,Pittsburgh,02:12.4,2018,ACC,0,0,0,D1,800m,,,,
Gianna BENDER,JR,Boston College,02:13.9,2018,ACC,0,0,0,D1,800m,,,,
Imani MCGOWAN,JR,Clemson,02:14.3,2018,ACC,0,0,0,D1,800m,,,,
Kendria EDOUARD,FR,Georgia Tech,02:15.8,2018,ACC,0,0,0,D1,800m,,,,
Molly MCCABE,SR,Boston College,02:18.1,2018,ACC,0,0,0,D1,800m,,,,
Madison HARRIS,JR,Florida State,02:18.3,2018,ACC,0,0,0,D1,800m,,,,
Maryanna LANSING,SO,Virginia,02:25.8,2018,ACC,0,0,0,D1,800m,,,,
Sydney Packard,SO,WPI,02:14.4,2018,NEWMAC,1,1,0,D3,800m,,,,
Bailey Tregoning,JR,MIT,02:15.0,2018,NEWMAC,1,0,0,D3,800m,,,,
Lea Strangio,SR,WPI,02:15.2,2018,NEWMAC,0,0,0,D3,800m,,,,
Katie Williams,FR,MIT,02:15.7,2018,NEWMAC,0,0,0,D3,800m,,,,
Kristen Madeia,JR,Springfield,02:16.1,2018,NEWMAC,0,0,0,D3,800m,,,,
Marissa McPhillip,SO,MIT,02:16.2,2018,NEWMAC,0,0,0,D3,800m,,,,
Kaitlyn Mooney,FR,Coast Guard,02:18.3,2018,NEWMAC,0,0,0,D3,800m,,,,
Skylar Brooks,FR,MIT,02:18.5,2018,NEWMAC,0,0,0,D3,800m,,,,
Maeve Roach,FR,Coast Guard,02:21.0,2018,NEWMAC,0,0,0,D3,800m,,,,
Ashlee Johnson,SR,Coast Guard,02:21.4,2018,NEWMAC,0,0,0,D3,800m,,,,
Olivia Suski,SO,Coast Guard,02:23.2,2018,NEWMAC,0,0,0,D3,800m,,,,
