Athlete,Time,School,Course,Year
Zofia Dudek,17:09.4,Ann Arbor Pioneer,Hudson Mills,2019
Madi Wood,18:03.4,Saline,Hudson Mills,2019
Sarah Forsyth,18:04.8,Ann Arbor Pioneer,Hudson Mills,2019
Cookie Baugh,18:55.5,Ann Arbor Pioneer,Hudson Mills,2019
Isabella Johnson,19:04.2,Temperance Bedford,Hudson Mills,2019
Charlotte Batra,19:22.2,Ann Arbor Pioneer,Hudson Mills,2019
Anna Vogel,19:23.0,Ann Arbor Pioneer,Hudson Mills,2019
Sam Hastie,19:26.3,Ann Arbor Huron,Hudson Mills,2019
Laura O'Brien,19:27.1,Ann Arbor Skyline,Hudson Mills,2019
Madison Stern,19:27.6,Saline,Hudson Mills,2019
Ally Betkey,19:37.1,Temperance Bedford,Hudson Mills,2019
Nicole Dillmann,19:41.9,Saline,Hudson Mills,2019
Alyssa Dorn,19:42.6,Temperance Bedford,Hudson Mills,2019
Anna Dudek,19:45.2,Ann Arbor Pioneer,Hudson Mills,2019
Claire Endres,19:47.2,Saline,Hudson Mills,2019
Makayla Orner,19:52.7,Temperance Bedford,Hudson Mills,2019
Sydney Dec,20:01.2,Temperance Bedford,Hudson Mills,2019
Madison Foster,20:09.9,Temperance Bedford,Hudson Mills,2019
Ella Woehlke,20:15.0,Saline,Hudson Mills,2019
Katelyn Szafranski,20:28.9,Saline,Hudson Mills,2019
Bridgette Dudley,20:33.9,Monroe,Hudson Mills,2019
Catrin Koselka,20:49.1,Ann Arbor Skyline,Hudson Mills,2019
Haley Greene,20:51.8,Saline,Hudson Mills,2019
Royce Smith,20:53.2,Ann Arbor Huron,Hudson Mills,2019
Mia Solomon,20:54.5,Ann Arbor Huron,Hudson Mills,2019
Rachel Overgaard,20:54.7,Ann Arbor Huron,Hudson Mills,2019
Rebekah Asselin,21:01.9,Temperance Bedford,Hudson Mills,2019
Arielle Melong,21:03.4,Ann Arbor Skyline,Hudson Mills,2019
Danielle Armstrong,21:06.7,Ann Arbor Pioneer,Hudson Mills,2019
Helena Helme,21:13.0,Ann Arbor Huron,Hudson Mills,2019
Dana Decan,21:20.0,Ann Arbor Huron,Hudson Mills,2019
Mara Mueting,21:21.7,Ann Arbor Skyline,Hudson Mills,2019
Caitlyn Donnelly,21:22.6,Ann Arbor Skyline,Hudson Mills,2019
Lydia Cocciolone,21:24.8,Ann Arbor Skyline,Hudson Mills,2019
Grace Finley,21:27.9,Monroe,Hudson Mills,2019
Morgan Kay,21:35.7,Monroe,Hudson Mills,2019
Sierra Lubetkin,21:35.7,Ann Arbor Skyline,Hudson Mills,2019
Callie Francisco,21:47.4,Monroe,Hudson Mills,2019
Chloe Gunter,22:33.3,Monroe,Hudson Mills,2019
Zoe Solomon,22:50.8,Ann Arbor Huron,Hudson Mills,2019
Emma McCalister,23:17.4,Monroe,Hudson Mills,2019
Lauren Kiley,18:38.2,Plymouth,Huron Meadows,2019
Londyn Swenson,19:02.2,Plymouth,Huron Meadows,2019
Yasmine Mansi,19:19.4,Northville,Huron Meadows,2019
Emily Gordon,19:30.9,Northville,Huron Meadows,2019
Onivas Tupa,19:32.3,Northville,Huron Meadows,2019
Gina Couyoumjian,19:52.0,Northville,Huron Meadows,2019
Keira Courtney,20:19.5,Northville,Huron Meadows,2019
Lindsay Ripple,20:37.1,Plymouth,Huron Meadows,2019
Paige Cristea,20:39.0,Plymouth,Huron Meadows,2019
Sasha Fox,20:43.6,Plymouth,Huron Meadows,2019
Mariella Ma,20:49.7,Plymouth,Huron Meadows,2019
Emma Munro,20:54.8,Northville,Huron Meadows,2019
Olivia Masse,20:59.1,Northville,Huron Meadows,2019
Elise Jund,21:00.0,Northville,Huron Meadows,2019
Janie DeGroot,21:07.0,Northville,Huron Meadows,2019
Erin Trombly,21:31.2,Plymouth,Huron Meadows,2019
Lily Tiplady,21:50.2,Plymouth,Huron Meadows,2019
Laura Bonds,21:59.4,Plymouth,Huron Meadows,2019
